name,price,type,interface,capacity,price_per_gb,color
Freecom Mobile Drive Classic 3.0,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Black
Samsung T5,189.99,Portable,USB Type-C 3.2 Gen 1,250,0.76,Blue
Seagate Backup Plus Ultra Touch,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Black
Samsung T7 Portable,169.99,Portable,USB Type-C 3.2 Gen 1,2000,0.085,Blue / Silver
Western Digital My Passport,109.99,Portable,USB Type-A 3.2 Gen 1,4000,0.027,White
Western Digital My Passport,134.99,Portable,USB Type-A 3.2 Gen 1,5000,0.027,Blue
Western Digital My Passport Ultra,0.0,Portable,USB Type-A 3.2 Gen 2,3000,0.0,White
Samsung T7 Portable,149.0,Portable,USB Type-C 3.2 Gen 2,500,0.298,Silver
Samsung T7 Portable,389.99,Portable,USB Type-C 3.2 Gen 2,2000,0.195,Silver
Samsung T7 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Silver
Samsung T5 Portable,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Gold
Samsung T3 Portable,119.0,Portable,USB Type-C 3.2 Gen 1,250,0.476,Unknown
Seagate One Touch,214.0,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.107,Blue
Seagate One Touch,159.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.08,Silver
Seagate One Touch,189.0,Portable,USB Type-A 3.2 Gen 1,5000,0.038,Silver
Seagate One Touch,189.0,Portable,USB Type-A 3.2 Gen 1,5000,0.038,Red
Western Digital My Passport For Mac,0.0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.0,Black
Verbatim Vx460,0.0,Portable,USB Type-A 3.2 Gen 1,512,0.0,Black
Seagate Barracuda Fast,0.0,Portable,USB Type-C,500,0.0,Black
Seagate Barracuda Fast,0.0,Portable,USB Type-C,1000,0.0,Black
Sabrent Rocket Nano V2,199.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.1,Black
Apricorn Aegis Fortress L3,429.34,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",5000,0.086,Black
Apricorn Aegis Fortress L3,0.0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",512,0.0,Black
Apricorn Aegis Fortress L3,712.14,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",2000,0.356,Black
Apricorn Aegis Padlock 3.0,2662.5,Portable,USB Type-A 3.2 Gen 1,8000,0.333,Black
