name,price,rpm,noise_level,color,size
Deepcool MYSTIQUE,149.99,5002150.0,36.49,Black,240.0
EK AIO Elite 360 D-RGB,106.99,5502200.0,31.6,Black,360.0
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,5502300.0,36,White,360.0
Corsair iCUE H170i ELITE CAPELLIX XT,204.99,5001700.0,"5,33.8",Black,420.0
Thermalright AXP120-X67,29.9,1800.0,26.1,White,0.0
Thermalright Assassin King SE ARGB,19.29,1550.0,25.6,Silver / Gray,0.0
Thermalright Frozen Edge,62.9,2150.0,28.1,Black,360.0
Thermaltake Gravity i2,11.99,1800.0,21.3,Unknown,0.0
Lian Li Galahad II Trinity SL-INF,129.99,2100.0,29,White,240.0
EK EK-Nucleus AIO CR240 Lux D-RGB,119.99,5502300.0,36,Black,240.0
MSI MAG CORELIQUID M240,69.0,5002000.0,"14.3,34.3",Black,240.0
Corsair iCUE H150i RGB PRO XT,203.1,2400.0,37,Black / White,360.0
Corsair iCUE H100i RGB PRO XT,229.99,2400.0,37,Black,240.0
Noctua NH-L12 Ghost S1,64.9,3001600.0,"13.1,17.6",Silver / Beige,0.0
Lian Li Galahad II LCD,229.99,3002450.0,30,White,360.0
