name,price,socket,form_factor,max_memory,memory_slots,color
MSI PRO B760-VC WIFI IV,159.99,LGA1700,ATX,256,4,Black / Silver
MSI PRO Z790-VC WIFI,159.99,LGA1700,ATX,192,4,Black
Asus PRIME A520M-A II/CSM,79.99,AM4,Micro ATX,128,4,Silver / Black
MSI MPG B650 CARBON WIFI,458.47,AM5,ATX,192,4,Black
ASRock B450M/AC,82.38,AM4,Micro ATX,64,4,Black
ASRock A520M-ITX/ac,119.17,AM4,Mini ITX,64,2,Black / Silver
Gigabyte B650M AORUS ELITE AX ICE,0.0,AM5,Micro ATX,192,4,Silver
MSI Z790 GAMING PRO WIFI,189.99,LGA1700,ATX,192,4,Black
Gigabyte B650 UD AC,169.99,AM5,ATX,192,4,Black / Gray
Asus PRIME B760M-A WIFI D4,188.54,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte Z390 AORUS PRO WIFI,298.0,LGA1151,ATX,128,4,Black / Silver
ASRock B550 Pro4,119.67,AM4,ATX,128,4,Silver / Black
Gigabyte H610I,119.99,LGA1700,Mini ITX,64,2,Black
MSI MAG B660 TOMAHAWK WIFI DDR4,235.49,LGA1700,ATX,128,4,Black / Silver
MSI MPG Z790 EDGE WIFI,291.94,LGA1700,ATX,192,4,Silver / Black
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,Mini ITX,64,2,Silver / Black
ASRock B760M Steel Legend WiFi,159.99,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME B660-PLUS D4,149.02,LGA1700,ATX,128,4,Silver / Black
MSI MAG B550M MORTAR MAX WIFI,149.99,AM4,Micro ATX,128,4,Silver / Black
ASRock B760M Pro RS,0.0,LGA1700,Micro ATX,192,4,Silver / Black
Asus ROG STRIX X570-E GAMING WIFI II,459.0,AM4,ATX,128,4,Black
Asus TUF GAMING B550-PLUS,157.0,AM4,ATX,128,4,Black
ASRock B650E PG-ITX WIFI,289.99,AM5,Mini ITX,96,2,Black / Red
Asus TUF GAMING B650-PLUS,260.54,AM5,ATX,128,4,Black / Orange
Asus PRIME X670-P,221.02,AM5,ATX,192,4,Silver / Black
MSI PRO B550M-P GEN3,103.6,AM4,Micro ATX,128,4,Black
MSI B450 TOMAHAWK,0.0,AM4,ATX,64,4,Black / Silver
ASRock B760M PG Riptide,129.99,LGA1700,Micro ATX,192,4,Black / Blue
Gigabyte B760M AORUS ELITE AX,174.99,LGA1700,Micro ATX,192,4,Black / Silver
Asus PRIME H510M-K,129.06,LGA1200,Micro ATX,64,2,Black / Silver
ASRock Z690 PG Riptide,124.99,LGA1700,ATX,128,4,Black / Silver
MSI Z490-A PRO,329.0,LGA1200,ATX,128,4,Black / Silver
MSI PRO B760M-A WIFI,169.99,LGA1700,Micro ATX,192,4,Black
Asus PRIME H610M-K D4,107.39,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte B450M DS3H V2,102.84,AM4,Micro ATX,128,4,Black
MSI MEG Z690 ACE,223.99,LGA1700,EATX,192,4,Black / Gold
ASRock B450 Steel Legend,99.99,AM4,ATX,64,4,Black / Silver
Supermicro X10SLL-F,169.99,LGA1150,Micro ATX,32,4,Black / Green
ASRock B560M-HDV,129.99,LGA1200,Micro ATX,64,2,Silver / Black
Asus ROG STRIX Z590-E GAMING WIFI,349.63,LGA1200,ATX,128,4,Black
MSI MPG Z790 CARBON WIFI,439.56,LGA1700,ATX,192,4,Black
Gigabyte B760M C,139.99,LGA1700,Micro ATX,192,4,Brown / Gray
ASRock A520M-HVS,81.23,AM4,Micro ATX,64,2,Black / Silver
Gigabyte Z790 AORUS MASTER,439.99,LGA1700,EATX,192,4,Black / Silver
Gigabyte B450 AORUS ELITE V2,126.81,AM4,ATX,128,4,Black
Asus ROG CROSSHAIR X670E GENE,658.73,AM5,Micro ATX,96,2,Black / Silver
Gigabyte Z790 AORUS XTREME X,1611.9,LGA1700,EATX,192,4,Black
ASRock Z790 Taichi Lite,341.99,LGA1700,EATX,192,4,Black / Gray
Asus TUF GAMING B650M-E WIFI,227.53,AM5,Micro ATX,192,4,Black
Asus TUF GAMING Z690-PLUS WIFI,219.99,LGA1700,ATX,192,4,Black / Gray
ASRock Z690 Phantom Gaming 4/D5,129.99,LGA1700,ATX,192,4,Black / Silver
Asus PRIME Z490-P,199.99,LGA1200,ATX,128,4,Black / Silver
MSI MEG X570 UNIFY,0.0,AM4,ATX,128,4,Black
ASRock B650E STEEL LEGEND WIFI,199.99,AM5,ATX,192,4,Black / Silver
ASRock B760 Pro RS/D4,149.5,LGA1700,ATX,128,4,Silver / Black
MSI PRO B760M-P,141.53,LGA1700,Micro ATX,192,4,Black
MSI MEG Z690 UNIFY,199.99,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A520M-K,97.85,AM4,Micro ATX,64,2,Black / Silver
MSI PRO X670-P WIFI,349.99,AM5,ATX,192,4,Black / White
Asus ROG STRIX B760-F GAMING WIFI,247.94,LGA1700,ATX,192,4,Black
Asus PRIME Z790M-PLUS,196.99,LGA1700,Micro ATX,192,4,Silver / Black
ASRock Z690M Phantom Gaming 4,99.99,LGA1700,Micro ATX,128,4,Silver / Black
ASRock H610M-HDV/M.2+ D5,98.4,LGA1700,Micro ATX,96,2,White / Black
ASRock B760M-ITX/D4 WiFi,148.99,LGA1700,Mini ITX,64,2,Silver / Black
MSI MAG B560M MORTAR WIFI,240.28,LGA1200,Micro ATX,128,4,Black / White
MSI MPG X570 GAMING EDGE WIFI,299.0,AM4,ATX,128,4,Black / Silver
Asus TUF GAMING X670E-PLUS,353.13,AM5,ATX,192,4,Black / Orange
Asus TUF GAMING B660-PLUS WIFI D4,215.81,LGA1700,ATX,128,4,Yellow / Black
MSI MAG Z790 TOMAHAWK WIFI DDR4,265.75,LGA1700,ATX,128,4,Black
Asus PRIME B550M-K,114.97,AM4,Micro ATX,128,4,Black / White
ASRock X570 Phantom Gaming-ITX/TB3,299.0,AM4,Mini ITX,64,2,Black / Silver
MSI MPG Z690 EDGE WIFI DDR4,369.0,LGA1700,ATX,128,4,Black / Gray
Asus X99-WS/IPMI,0.0,LGA2011-3,ATX,128,8,Black / Silver
Asus PROART B650-CREATOR,229.99,AM5,ATX,192,4,Black / Copper
Gigabyte B450 I AORUS PRO WIFI,195.03,AM4,Mini ITX,64,2,Black / Silver
MSI PRO Z790-A WIFI DDR4,194.99,LGA1700,ATX,128,4,Black / Silver
ASRock B760 Pro RS,149.99,LGA1700,ATX,192,4,Silver / Black
ASRock X670E Pro RS,219.99,AM5,ATX,192,4,Black
Gigabyte B760I AORUS PRO DDR4,189.99,LGA1700,Mini ITX,64,2,Black / Gray
Asus PRIME B450M-A,207.5,AM4,Micro ATX,64,4,Black
Asus TUF GAMING X570-PRO WIFI II,0.0,AM4,ATX,128,4,Black
Gigabyte A620M GAMING X,119.99,AM5,Micro ATX,192,4,Brown / Gray
Asus PRIME B450-PLUS,130.96,AM4,ATX,64,4,Black / Silver
Asus ROG STRIX Z370-E GAMING,0.0,LGA1151,ATX,64,4,Black / Silver
Gigabyte B760M D3H,144.99,LGA1700,Micro ATX,192,4,Black / Gray
Gigabyte Z790 AORUS MASTER X,499.99,LGA1700,EATX,192,4,Black
ASRock X570 Phantom Gaming 4S,3939.77,AM4,ATX,128,4,Black
ASRock Z790M-ITX WIFI,229.99,LGA1700,Mini ITX,96,2,Black
