name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
MSI Clutch GM60,87.12,Optical,Wired,10800.0,Right,Black
NZXT Lift 2 Ergo,49.99,Optical,Wired,26000.0,Right,White
AOC AGM700,14.99,Optical,Wired,16000.0,Right,Black / Silver
Logitech MX Ergo Plus,89.99,Optical,Wireless,440.0,Right,Black
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000.0,Right,Black
Logitech PRO Wireless,199.99,Optical,Wireless,25600.0,Both,Black
Cooler Master MM710 Matte Black,39.99,Optical,Wired,16000.0,Right,Black
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,0.0,Optical,Wireless,26000.0,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000.0,Right,White
YEYIAN Gram 2000,22.99,Optical,Wired,10000.0,Right,Black
Logitech MX Master,146.22,Laser,Bluetooth Wireless,1600.0,Right,Brown / Black
SteelSeries Prime Mini,39.97,Optical,"Wired, Wireless",18000.0,Right,Black
Logitech Signature M650,38.18,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Black
Logitech G203 Lightsync,27.42,Optical,Wired,8000.0,Right,Blue
Endgame Gear XM1r,59.99,Optical,Wired,19000.0,Right,Black / Gold
Corsair M65 PRO RGB FPS,0.0,Optical,Wired,12000.0,Right,Black
Cooler Master MM311,34.99,Optical,"Wired, Wireless",10000.0,Right,White
Logitech M185,12.99,Optical,Wireless,0.0,Both,Gray
Asus ProArt Mouse MD300,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",4200.0,Right,Black
Logitech T631,199.95,Laser,Bluetooth Wireless,0.0,Both,White
Logitech MX MASTER 2S (White),149.94,Laser,Wireless,4000.0,Right,White
Asus ROG Gladius III,0.0,Optical,Wireless,26000.0,Right,Black
3Dconnexion CadMouse Pro,0.0,Optical,Wireless,7200.0,Left,Black
ROCCAT Kone XP Air,94.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000.0,Right,White
EVGA X20,31.95,Optical,"Wired, Wireless, Bluetooth Wireless",16000.0,Right,Gray / Black
Glorious Model O 2,64.98,Optical,Wired,26000.0,Right,White
Cooler Master MM720 Glossy,29.09,Optical,Wired,16000.0,Right,White
Razer DeathAdder,170.99,Laser,Wired,3500.0,Left,Black
SteelSeries Aerox 3 (2022),38.99,Optical,Wired,8500.0,Right,Black
Glorious Model I,77.68,Optical,Wired,19000.0,Right,White / Red
Logitech M240 Silent,19.99,Optical,Bluetooth Wireless,4000.0,Both,Black
MSI Clutch GM20 Elite,24.99,Optical,Wired,6400.0,Right,Black
Mad Catz R.A.T. 8+,83.34,Optical,Wired,16000.0,Right,White / Black
NZXT Lift 2 Symm,49.99,Optical,Wired,26000.0,Right,White
Razer Orochi V2 Quartz,49.98,Optical,Wireless,18000.0,Right,Pink / Gray
Dell MS116,19.99,Optical,Wired,1000.0,Both,Black
Cooler Master MM720 Matte,43.95,Optical,Wired,16000.0,Right,Black
Glorious Model D-,49.99,Optical,Wired,12000.0,Right,White
HP HyperX Pulsefire Haste,39.99,Optical,Wired,16000.0,Right,White / Pink
Logitech G603,0.0,Optical,Wireless,12000.0,Right,Black
Redragon M990,0.0,Laser,Wired,24000.0,Right,Black
Cooler Master MM711 Glossy White,29.81,Optical,Wired,16000.0,Right,White
ROCCAT Kain 100 Aimo RGB,74.98,Optical,Wired,8500.0,Right,Black
Microsoft 8KX-00003,10.99,Optical,"Wired, Wireless, Bluetooth Wireless",1000.0,Both,Green
Cherry MC 1000,9.94,Optical,Wired,1200.0,Both,Black
Logitech G403 Prodigy,114.47,Optical,Wireless,12000.0,Right,Black
Logitech T630,306.23,Touchpad,Wireless,0.0,Both,Black / Silver
Redragon Centrophorus M601,0.0,Optical,Wired,2000.0,Right,Black / Red
SteelSeries Aerox 3,59.98,Optical,Wired,8500.0,Right,Black
BenQ Zowie EC2-B,0.0,Optical,Wired,3200.0,Right,Black
EVGA X17,31.24,Optical,Wired,16000.0,Right,Black / Gray
EVGA X17,21.99,Optical,Wired,16000.0,Right,Gray / Black
MSI CLUTCH GM31,66.59,Optical,"Wired, Wireless",12000.0,Right,Black
Kensington SureTrack,11.99,Optical,"Wired, Wireless, Bluetooth Wireless",4000.0,Both,Gray
Razer Naga Left-Handed Edition,99.99,Optical,Wired,20000.0,Left,Black
Asus ROG Spatha,0.0,Laser,Wireless,8200.0,Right,Black
SteelSeries Sensei Ten,76.16,Optical,Wired,18000.0,Right,Black
Ergoguys 0090-0030,0.0,Optical,Wired,400.0,Right,White
