name,price,type,efficiency,wattage,modular,color
Thermaltake Toughpower GF3 TT Premium,156.49,ATX,gold,1200,Full,Black
SeaSonic 1000FX WHITE,0.0,ATX,gold,1000,Full,White
Corsair CX650F,199.99,ATX,bronze,650,Full,Black
Thermalright TG,0.0,ATX,gold,650,Full,White
ARESGAME AGV,0.0,ATX,bronze,750,Semi,Black
Corsair RM750x White (2018),220.0,ATX,gold,750,Full,White / Black
Corsair RM750x,164.92,ATX,gold,750,Full,Unknown
Cooler Master MWE Gold 650,0.0,ATX,gold,650,Full,Black
GAMDIAS KRATOS M1 B,69.98,ATX,bronze,750,false,Black
Segotep GP,0.0,ATX,gold,600,false,Black
Montech TITAN GOLD 1000W,140.24,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 PE,144.98,ATX,gold,850,Full,Black
Logisys PS480D2,16.98,ATX,Unknown,480,false,Unknown
Enermax Revolution D.F. X,129.99,ATX,gold,1050,Full,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black
Corsair TX650M,0.0,ATX,gold,650,Semi,Black
Corsair CX500M,0.0,ATX,bronze,500,Semi,Unknown
Super Flower LEADEX VII XG,179.99,ATX,gold,1000,Full,Black
Cooler Master V750 Gold i,0.0,ATX,gold,750,Full,Black / Gold
Corsair SF450,265.0,SFX,platinum,450,Full,Black
Silverstone DA750 Gold,134.43,ATX,gold,750,Full,Black / White
Sparkle FSP350-60GNV,69.99,SFX,Unknown,350,false,Unknown
ADATA XPG FUSION 1600,627.75,ATX,titanium,1600,Full,Black / Silver
Silverstone FX350-G,97.99,Flex ATX,gold,350,false,Black
Corsair TX550M Gold,229.99,ATX,gold,550,Semi,Unknown
GameMax RGB Rainbow,0.0,ATX,gold,550,Full,Black
"FSP Group Hydro Ti PRO,Gen 5",259.99,ATX,titanium,1000,Full,Black
Super Flower Leadex Titanium,199.99,ATX,titanium,850,Full,Black
FSP Group Hydro G Pro,147.61,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,169.99,ATX,gold,1200,Full,Black
Silverstone Extreme 850R Platinum,209.99,SFX,Unknown,850,Full,Black
